model      ;temperature;prompt                                   ;tokens;iteration;response       ;semantic_shift
gpt-4.1    ;0.8        ;Write a quatrain about war               ;100   ;3        ;steel clashes shadows stretch across the land   a crimson tide rolls where the banners soar.   hope flickers dim beneath the iron hand—   such is the bitter legacy of war.;1.03
gpt-4.1    ;0.8        ;Write a quatrain about war               ;100   ;4        ;steel clashes hard where bitter tempests roar   the silent earth is scarred by crimson rain.   in war the victors weep as much as more—   all hearts are broken bound by grief and pain.;0.99
gpt-4.1    ;0.8        ;Write a quatrain about war               ;200   ;1        ;steel clashes loud where silent fields once lay   the hopes of many lost in smoke and dread.   beneath the banners dreams are swept away—   in war’s cold shadow peace and reason fled.;1.01
gpt-4.1    ;0.8        ;Write a quatrain about war               ;200   ;2        ;steel clashes loud as hopes are torn   the earth runs red where dreams are born   beneath the smoke a silent plea—   what price we pay for victory.;1.0 
gpt-4.1    ;0.8        ;Write a quatrain about war               ;200   ;3        ;beneath a smoky sky the cannons roar   the earth is scarred by boots and bitter flame   young voices quieted by ancient lore—   the price of pride forever stays the same.;1.06
gpt-4.1    ;0.8        ;Write a quatrain about war               ;200   ;4        ;steel thunder cracks the morning air with dread   the earth is stained where brothers fought and bled.   hope flickers dim amid the smoke and scar—   in silent grief humanity marks war.;1.0 
gpt-4.1    ;0.8        ;Write a quatrain about war               ;400   ;1        ;steel clashes loud where shadows stain the ground   a crimson tide where hope and sorrow meet   the drums of wrath and grief in thunder sound   and peace lies broken trampled by defeat.;0.96
gpt-4.1    ;0.8        ;Write a quatrain about war               ;400   ;2        ;steel clashes loud where shadows stain the land   hope falters thin beneath the cannon’s roar.   fields once ablaze with life now ruined stand   as peace retreats and sorrow marks the score.;1.0 
gpt-4.1    ;0.8        ;Write a quatrain about war               ;400   ;3        ;steel clashes loud where silent fields once lay   brave hearts are broken in the crimson flood.   ambition’s price the children learn to pay—   the earth remembers every drop of blood.;0.99
gpt-4.1    ;0.8        ;Write a quatrain about war               ;400   ;4        ;steel clashes bright beneath a weeping sky   the thunder roars where hope and sorrow meet   young dreams are scattered as the banners fly   and peace is trampled by a thousand feet.;1.04
gpt-4.1    ;0.8        ;Solve 2+2                                ;20    ;1        ;2 + 2 = 4      ;0.93
gpt-4.1    ;0.8        ;Solve 2+2                                ;20    ;2        ;2 + 2 = 4      ;0.93
gpt-4.1    ;0.8        ;Solve 2+2                                ;20    ;3        ;2 + 2 = 4      ;0.93
gpt-4.1    ;0.8        ;Solve 2+2                                ;20    ;4        ;2 + 2 = 4      ;0.93
gpt-4.1    ;0.8        ;Solve 2+2                                ;50    ;1        ;2 + 2 = 4      ;0.93
gpt-4.1    ;0.8        ;Solve 2+2                                ;50    ;2        ;2 + 2 = 4      ;0.93
gpt-4.1    ;0.8        ;Solve 2+2                                ;50    ;3        ;2 + 2 = 4      ;0.93
gpt-4.1    ;0.8        ;Solve 2+2                                ;50    ;4        ;2 + 2 = 4      ;0.93
gpt-4.1    ;0.8        ;Solve 2+2                                ;100   ;1        ;2 + 2 = 4      ;0.93
gpt-4.1    ;0.8        ;Solve 2+2                                ;100   ;2        ;2 + 2 = 4      ;0.93
gpt-4.1    ;0.8        ;Solve 2+2                                ;100   ;3        ;2 + 2 = 4      ;0.93
gpt-4.1    ;0.8        ;Solve 2+2                                ;100   ;4        ;2 + 2 = 4      ;0.93
gpt-4.1    ;0.8        ;Solve 2+2                                ;200   ;1        ;2 + 2 = 4      ;0.93
gpt-4.1    ;0.8        ;Solve 2+2                                ;200   ;2        ;2 + 2 = 4      ;0.93
gpt-4.1    ;0.8        ;Solve 2+2                                ;200   ;3        ;2 + 2 = 4      ;0.93
gpt-4.1    ;0.8        ;Solve 2+2                                ;200   ;4        ;2 + 2 = 4      ;0.93
gpt-4.1    ;0.8        ;Solve 2+2                                ;400   ;1        ;2 + 2 = 4      ;0.93
gpt-4.1    ;0.8        ;Solve 2+2                                ;400   ;2        ;2 + 2 = 4      ;0.93
gpt-4.1    ;0.8        ;Solve 2+2                                ;400   ;3        ;2 + 2 = 4      ;0.93
gpt-4.1    ;0.8        ;Solve 2+2                                ;400   ;4        ;2 + 2 = 4      ;0.93
gpt-4.1    ;1.0        ;Explain quantum mechanics in one sentence;20    ;1        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales;0.12
gpt-4.1    ;1.0        ;Explain quantum mechanics in one sentence;20    ;2        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at atomic and subatomic;0.12
gpt-4.1    ;1.0        ;Explain quantum mechanics in one sentence;20    ;3        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales;0.14
gpt-4.1    ;1.0        ;Explain quantum mechanics in one sentence;20    ;4        ;quantum mechanics is the branch of physics that describes the behavior and interactions of particles at atomic and subatomic;0.14
gpt-4.1    ;1.0        ;Explain quantum mechanics in one sentence;50    ;1        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exist in probabilistic states and exhibit wave-particle duality.;0.13
gpt-4.1    ;1.0        ;Explain quantum mechanics in one sentence;50    ;2        ;quantum mechanics is the branch of physics that describes the behavior of energy and matter at the smallest scales where particles can exist in multiple states simultaneously and their properties are fundamentally probabilistic.;0.18
gpt-4.1    ;1.0        ;Explain quantum mechanics in one sentence;50    ;3        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.17
gpt-4.1    ;1.0        ;Explain quantum mechanics in one sentence;50    ;4        ;quantum mechanics is the branch of physics that describes the behavior and interactions of matter and energy at the smallest scales—such as atoms and subatomic particles—where phenomena like superposition and entanglement occur often defying classical intuition.;0.18
gpt-4.1    ;1.0        ;Explain quantum mechanics in one sentence;100   ;1        ;quantum mechanics is the branch of physics that describes the behavior and interactions of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic rather than certain.;0.12
gpt-4.1    ;1.0        ;Explain quantum mechanics in one sentence;100   ;2        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.17
gpt-4.1    ;1.0        ;Explain quantum mechanics in one sentence;100   ;3        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are governed by probabilities rather than certainties.;0.17
gpt-4.1    ;1.0        ;Explain quantum mechanics in one sentence;100   ;4        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.14
gpt-4.1    ;1.0        ;Explain quantum mechanics in one sentence;200   ;1        ;quantum mechanics is the branch of physics that describes the strange probabilistic behavior of matter and energy at the atomic and subatomic scales.;0.17
gpt-4.1    ;1.0        ;Explain quantum mechanics in one sentence;200   ;2        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.19
gpt-4.1    ;1.0        ;Explain quantum mechanics in one sentence;200   ;3        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.2 
gpt-4.1    ;1.0        ;Explain quantum mechanics in one sentence;200   ;4        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes can only be predicted probabilistically.;0.19
gpt-4.1    ;1.0        ;Explain quantum mechanics in one sentence;400   ;1        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.17
gpt-4.1    ;1.0        ;Explain quantum mechanics in one sentence;400   ;2        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at atomic and subatomic scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.14
gpt-4.1    ;1.0        ;Explain quantum mechanics in one sentence;400   ;3        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and their states are governed by probabilities rather than certainties.;0.12
gpt-4.1    ;1.0        ;Explain quantum mechanics in one sentence;400   ;4        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties and outcomes are fundamentally probabilistic.;0.18
gpt-4.1    ;1.0        ;Write a quatrain about war               ;20    ;1        ;beneath the thunder of the cannon's roar   the earth is scarred where hope and;0.95
gpt-4.1    ;1.0        ;Write a quatrain about war               ;20    ;2        ;steel echoes loud across the battered land   the hopes of youth are buried in the dust.;0.99
gpt-4.1    ;1.0        ;Write a quatrain about war               ;20    ;3        ;steel clashes loud upon the battered field   the thunder's echo dark in every soul   while;0.98
gpt-4.1    ;1.0        ;Write a quatrain about war               ;20    ;4        ;steel clashes loud where hope and sorrow meet   the ground runs red beneath the iron sky.;1.11
gpt-4.1    ;1.0        ;Write a quatrain about war               ;50    ;1        ;steel clashes loud where mournful shadows fall   the earth remembers every crimson stain   ambition's whisper drowns the suffering call   and loss outlives the glory men attain.;0.97
gpt-4.1    ;1.0        ;Write a quatrain about war               ;50    ;2        ;steel clashes loud as thunder fills the sky   a crimson tide from hope and mercy torn.   the dreams of peace in shattered silence lie   while mothers mourn the sons who won’t return.;1.01
gpt-4.1    ;1.0        ;Write a quatrain about war               ;50    ;3        ;drums thunder low where shadows stain the land   steel clashes bright beneath a darkening sky   young voices lost to battles never planned   while hope retreats and silent mothers cry.;1.05
gpt-4.1    ;1.0        ;Write a quatrain about war               ;50    ;4        ;beneath the iron thunder hope is torn   as shadows march where sunlight used to be.   the cries of loss and fury battle-worn   echo through hearts that only yearn for peace.;1.05
gpt-4.1    ;1.0        ;Write a quatrain about war               ;100   ;1        ;steel clashes loud beneath a smoky sky   the echoes of ambition loss and pride.   brave hearts and trembling hands must live or die   as dreams and futures in the crossfire slide.;0.97
gpt-4.1    ;1.0        ;Write a quatrain about war               ;100   ;2        ;beneath the drums where thundered feet have trod   the earth remembers every crimson stain   in silent hollows prayers ascend to god—   yet war returns and grief repeats its reign.;0.99
gpt-4.1    ;1.0        ;Write a quatrain about war               ;100   ;3        ;steel clashes bright beneath a smoky sky   the cries of valor echo through the night   where once grew peace now sorrow’s banners fly—   in war’s grim shadow hope retreats from sight.;1.03
gpt-4.1    ;1.0        ;Write a quatrain about war               ;100   ;4        ;beneath the thunder of the iron sky   fields once green are trampled into mud.   the cries of past and present mingle why   must hope be strewn where war has spilled its blood?;1.04
gpt-4.1    ;1.0        ;Write a quatrain about war               ;200   ;1        ;drums thunder as the morning breaks apart   steel clashes with the hopes within each breast.   in war’s rough tide mankind forgets the heart   and peace lies wounded longing for its rest.;1.04
gpt-4.1    ;1.0        ;Write a quatrain about war               ;200   ;2        ;steel clashes loud beneath a blood-red sky   the drums of war resound with sorrow's call   young hopes extinguished as the old dreams die   and silent grief descends to cover all.;0.98
gpt-4.1    ;1.0        ;Write a quatrain about war               ;200   ;3        ;beneath the thunder of a crimson sky   steel clashes loud as hope begins to fade   for every victory the children cry   and peace lies broken in the dust and blade.;1.06
gpt-4.1    ;1.0        ;Write a quatrain about war               ;200   ;4        ;smoke spirals high where quiet fields once lay   steel thunders loud and shatters peace anew.   in scarlet dawns young hopes are swept away—   war reaps the dreams that gentle hands once grew.;1.01
gpt-4.1    ;1.0        ;Write a quatrain about war               ;400   ;1        ;steel clashes loud where hopes once dared to grow   the crimson soil drinks dreams that might have been.   in shadowed fields humanity lays low   as peace retreats—forgotten pale unseen.;1.0 
gpt-4.1    ;1.0        ;Write a quatrain about war               ;400   ;2        ;steel clashes steel beneath a blood-red sky   the cries of men are carried by the wind   the hopeful dreams of youth in silence die   and sorrow sows the fields that hate has thinned.;0.91
gpt-4.1    ;1.0        ;Write a quatrain about war               ;400   ;3        ;steel clashes loud where silent fields once lay   dreams splintered under banners drawn for pride   the cost is sown in graves that mark the way   while hope retreats and peace waits terrified.;1.08
gpt-4.1    ;1.0        ;Write a quatrain about war               ;400   ;4        ;steel clashes loud where shadows tread   dreams drowned beneath a crimson tide   grief reaps the harvest courage bred—   in war all hope and reason hide.;0.99
gpt-4.1    ;1.0        ;Solve 2+2                                ;20    ;1        ;2 + 2 = 4      ;0.93
gpt-4.1    ;1.0        ;Solve 2+2                                ;20    ;2        ;2 + 2 = 4      ;0.93
gpt-4.1    ;1.0        ;Solve 2+2                                ;20    ;3        ;2 + 2 = 4      ;0.93
gpt-4.1    ;1.0        ;Solve 2+2                                ;20    ;4        ;2 + 2 = 4      ;0.93
gpt-4.1    ;1.0        ;Solve 2+2                                ;50    ;1        ;2 + 2 = 4      ;0.93
gpt-4.1    ;1.0        ;Solve 2+2                                ;50    ;2        ;2 + 2 = 4      ;0.93
gpt-4.1    ;1.0        ;Solve 2+2                                ;50    ;3        ;2 + 2 = 4      ;0.93
gpt-4.1    ;1.0        ;Solve 2+2                                ;50    ;4        ;2 + 2 = 4      ;0.93
gpt-4.1    ;1.0        ;Solve 2+2                                ;100   ;1        ;2 + 2 = 4      ;0.93
gpt-4.1    ;1.0        ;Solve 2+2                                ;100   ;2        ;2 + 2 = 4      ;0.93
gpt-4.1    ;1.0        ;Solve 2+2                                ;100   ;3        ;2 + 2 = 4      ;0.93
gpt-4.1    ;1.0        ;Solve 2+2                                ;100   ;4        ;2 + 2 = 4      ;0.93
gpt-4.1    ;1.0        ;Solve 2+2                                ;200   ;1        ;2 + 2 = 4      ;0.93
gpt-4.1    ;1.0        ;Solve 2+2                                ;200   ;2        ;2 + 2 = 4      ;0.93
gpt-4.1    ;1.0        ;Solve 2+2                                ;200   ;3        ;2 + 2 = 4      ;0.93
gpt-4.1    ;1.0        ;Solve 2+2                                ;200   ;4        ;2 + 2 = 4      ;0.93
gpt-4.1    ;1.0        ;Solve 2+2                                ;400   ;1        ;2 + 2 = 4      ;0.93
gpt-4.1    ;1.0        ;Solve 2+2                                ;400   ;2        ;2 + 2 = 4      ;0.93
gpt-4.1    ;1.0        ;Solve 2+2                                ;400   ;3        ;2 + 2 = 4      ;0.93
gpt-4.1    ;1.0        ;Solve 2+2                                ;400   ;4        ;2 + 2 = 4      ;0.93
gpt-4o     ;0.0        ;Explain quantum mechanics in one sentence;20    ;1        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales;0.0 
gpt-4o     ;0.0        ;Explain quantum mechanics in one sentence;20    ;2        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales;0.0 
gpt-4o     ;0.0        ;Explain quantum mechanics in one sentence;20    ;3        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales;0.0 
gpt-4o     ;0.0        ;Explain quantum mechanics in one sentence;20    ;4        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales;0.0 
gpt-4o     ;0.0        ;Explain quantum mechanics in one sentence;50    ;1        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.15
gpt-4o     ;0.0        ;Explain quantum mechanics in one sentence;50    ;2        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.17
gpt-4o     ;0.0        ;Explain quantum mechanics in one sentence;50    ;3        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.17
gpt-4o     ;0.0        ;Explain quantum mechanics in one sentence;50    ;4        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.17
gpt-4o     ;0.0        ;Explain quantum mechanics in one sentence;100   ;1        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.21
gpt-4o     ;0.0        ;Explain quantum mechanics in one sentence;100   ;2        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.17
gpt-4o     ;0.0        ;Explain quantum mechanics in one sentence;100   ;3        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.17
gpt-4o     ;0.0        ;Explain quantum mechanics in one sentence;100   ;4        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.17
gpt-4o     ;0.0        ;Explain quantum mechanics in one sentence;200   ;1        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.17
gpt-4o     ;0.0        ;Explain quantum mechanics in one sentence;200   ;2        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.17
gpt-4o     ;0.0        ;Explain quantum mechanics in one sentence;200   ;3        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.17
gpt-4o     ;0.0        ;Explain quantum mechanics in one sentence;200   ;4        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.17
gpt-4o     ;0.0        ;Explain quantum mechanics in one sentence;400   ;1        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.17
gpt-4o     ;0.0        ;Explain quantum mechanics in one sentence;400   ;2        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.17
gpt-4o     ;0.0        ;Explain quantum mechanics in one sentence;400   ;3        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and exist in probabilistic states until measured.;0.17
gpt-4o     ;0.0        ;Explain quantum mechanics in one sentence;400   ;4        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.17
gpt-4o     ;0.0        ;Write a quatrain about war               ;20    ;1        ;in fields where silence once held sway   now echoes clash with cries of war.   the earth;1.02
gpt-4o     ;0.0        ;Write a quatrain about war               ;20    ;2        ;in fields where shadows stretch and silence weeps   the echoes of the past in whispers tread.;1.02
gpt-4o     ;0.0        ;Write a quatrain about war               ;20    ;3        ;in fields where shadows stretch and silence weeps   the echoes of the past in whispers tread;1.06
gpt-4o     ;0.0        ;Write a quatrain about war               ;20    ;4        ;in fields where shadows stretch and silence weeps   the echoes of the past in whispers tread;1.04
gpt-4o     ;0.0        ;Write a quatrain about war               ;50    ;1        ;in fields where silence once held sway   now echoes clash with cries of war.   the earth stained red bears heavy sway   as peace retreats a distant shore.;1.04
gpt-4o     ;0.0        ;Write a quatrain about war               ;50    ;2        ;in fields where silence once held sway   the echoes of the past now play.   with shadows cast by fire's light   war paints the day and haunts the night.;1.03
gpt-4o     ;0.0        ;Write a quatrain about war               ;50    ;3        ;in fields where shadows stretch and silence breaks   the drums of war resound with heavy cries.   yet in the heart where hope and courage wake   a dream of peace beneath the endless skies.;1.0 
gpt-4o     ;0.0        ;Write a quatrain about war               ;50    ;4        ;in fields where silence once held sway   the echoes of the cannons play.   a crimson sun sets on the land   where peace and hope make their last stand.;1.0 
gpt-4o     ;0.0        ;Write a quatrain about war               ;100   ;1        ;in fields where shadows stretch and silence weeps   the echoes of the past in whispers tread   where valor's flame in crimson memory keeps   the cost of peace is written in the dead.;1.03
gpt-4o     ;0.0        ;Write a quatrain about war               ;100   ;2        ;in fields where shadows stretch and silence weeps   the echoes of the past in whispers tread   where valor's flame in crimson memory keeps   the cost of peace is written in the dead.;1.07
gpt-4o     ;0.0        ;Write a quatrain about war               ;100   ;3        ;in fields where shadows stretch and silence weeps   the echoes of the past in whispers tread   where valor's flame in crimson memory keeps   the cost of peace is written in the dead.;1.06
gpt-4o     ;0.0        ;Write a quatrain about war               ;100   ;4        ;in fields where shadows stretch and silence weeps   the echoes of the past in whispers tread   where valor's flame in crimson memory keeps   the cost of peace is written in the dead.;1.02
gpt-4o     ;0.0        ;Write a quatrain about war               ;200   ;1        ;in fields where shadows stretch and silence weeps   the echoes of the past in whispers tread.   where valor's flame in crimson memory sleeps   the cost of peace is written in the dead.;1.01
gpt-4o     ;0.0        ;Write a quatrain about war               ;200   ;2        ;in fields where silence once held sway   now echoes clash with cries of war.   the earth stained red bears heavy sway   as peace retreats a distant shore.;1.0 
gpt-4o     ;0.0        ;Write a quatrain about war               ;200   ;3        ;in fields where shadows stretch and silence weeps   the echoes of the past in whispers tread   where valor's flame in crimson memory keeps   the cost of peace is written in the dead.;1.07
gpt-4o     ;0.0        ;Write a quatrain about war               ;200   ;4        ;in fields where silence once held sway   the echoes of the cannons play.   a crimson sun sets on the land   where peace and hope make their last stand.;1.04
gpt-4o     ;0.0        ;Write a quatrain about war               ;400   ;1        ;in fields where silence once held sway   now echoes clash with cries of war.   the sky once blue is choked with gray   as peace retreats a distant shore.;1.03
gpt-4o     ;0.0        ;Write a quatrain about war               ;400   ;2        ;in fields where silence once held sway   now echoes clash with cries of war.   the earth stained red bears heavy sway   as peace retreats a distant shore.;1.03
gpt-4o     ;0.0        ;Write a quatrain about war               ;400   ;3        ;in fields where shadows stretch and silence weeps   the echoes of the past in whispers tread   where valor's flame in crimson memory keeps   the cost of peace in silent tears is read.;1.03
gpt-4o     ;0.0        ;Write a quatrain about war               ;400   ;4        ;in fields where silence once held sway   the echoes of the cannons play.   a crimson sun sets on the land   where peace and hope make their last stand.;1.07
gpt-4o     ;0.0        ;Solve 2+2                                ;20    ;1        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.0        ;Solve 2+2                                ;20    ;2        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.0        ;Solve 2+2                                ;20    ;3        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.0        ;Solve 2+2                                ;20    ;4        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.0        ;Solve 2+2                                ;50    ;1        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.0        ;Solve 2+2                                ;50    ;2        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.0        ;Solve 2+2                                ;50    ;3        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.0        ;Solve 2+2                                ;50    ;4        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.0        ;Solve 2+2                                ;100   ;1        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.0        ;Solve 2+2                                ;100   ;2        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.0        ;Solve 2+2                                ;100   ;3        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.0        ;Solve 2+2                                ;100   ;4        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.0        ;Solve 2+2                                ;200   ;1        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.0        ;Solve 2+2                                ;200   ;2        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.0        ;Solve 2+2                                ;200   ;3        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.0        ;Solve 2+2                                ;200   ;4        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.0        ;Solve 2+2                                ;400   ;1        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.0        ;Solve 2+2                                ;400   ;2        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.0        ;Solve 2+2                                ;400   ;3        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.0        ;Solve 2+2                                ;400   ;4        ;2 + 2 equals 4.;0.92
gpt-4o     ;0.2        ;Explain quantum mechanics in one sentence;20    ;1        ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales;0.08
gpt-4o     ;0.2        ;Explain quantum mechanics in one sentence;20    ;2        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales;0.08
gpt-4o     ;0.2        ;Explain quantum mechanics in one sentence;20    ;3        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales;0.0 
gpt-4o     ;0.2        ;Explain quantum mechanics in one sentence;20    ;4        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales;0.08
gpt-4o     ;0.2        ;Explain quantum mechanics in one sentence;50    ;1        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.15
gpt-4o     ;0.2        ;Explain quantum mechanics in one sentence;50    ;2        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.21
gpt-4o     ;0.2        ;Explain quantum mechanics in one sentence;50    ;3        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.17
gpt-4o     ;0.2        ;Explain quantum mechanics in one sentence;50    ;4        ;quantum mechanics is the branch of physics that studies the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.17
gpt-4o     ;0.2        ;Explain quantum mechanics in one sentence;100   ;1        ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.17
gpt-4o     ;0.2        ;Explain quantum mechanics in one sentence;100   ;2        ;quantum mechanics is a fundamental theory in physics that describes the behavior of matter and energy at the smallest scales where particles exhibit both wave-like and particle-like properties.;0.21
gpt-4o     ;0.2        ;Explain quantum mechanics in one sentence;100   ;3        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and exist in probabilistic states until measured.;0.18
gpt-4o     ;0.2        ;Explain quantum mechanics in one sentence;100   ;4        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.17
gpt-4o     ;0.2        ;Explain quantum mechanics in one sentence;200   ;1        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities.;0.17
gpt-4o     ;0.2        ;Explain quantum mechanics in one sentence;200   ;2        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.17
gpt-4o     ;0.2        ;Explain quantum mechanics in one sentence;200   ;3        ;quantum mechanics is the branch of physics that studies the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.17
gpt-4o     ;0.2        ;Explain quantum mechanics in one sentence;200   ;4        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.18
gpt-4o     ;0.2        ;Explain quantum mechanics in one sentence;400   ;1        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and are governed by probabilities rather than deterministic laws.;0.17
gpt-4o     ;0.2        ;Explain quantum mechanics in one sentence;400   ;2        ;quantum mechanics is the branch of physics that describes the behavior of matter and energy at the smallest scales where particles exhibit wave-particle duality and exist in superpositions of states until measured.;0.21
